ACMG_Diagnostic_Category	ACMG_Disease_Name	MIM_Disease_Name	MIM_Phenotype_Number	HGNC_Gene_Symbol	MIM_gene_number	NCBI_Gene_Number	Inheritance 	Variations	Transcripts	Minimum_Allele_Frequency
Familial_adenomatous_polyposis	Adenomatous_polyposis_coli	FAMILIAL_ADENOMATOUS_POLYPOSIS_1;_FAP1 	175100	APC	611731	324	AD	KP,EP			NM_000038.5,NM_001127510.2,NM_001127511.2,NM_001354895.1,NM_001354896.1,NM_001354897.1,NM_001354898.1,NM_001354899.1,NM_001354900.1,NM_001354901.1,NM_001354902.1,NM_001354903.1,NM_001354904.1,NM_001354905.1,NM_001354906.1
Marfan_syndrome,_Loeys-Dietz_syndromes,_and_familial_thoracic_aortic_aneurysms_and_dissections	Aortic_aneurysm,_familial_thoracic_4	AORTIC_ANEURYSM,_FAMILIAL_THORACIC_4;_AAT4	132900	MYH11	160745	4629	AD	KP,EP			NM_002474.2,NM_022844.2,NM_001040113.1,NM_001040114.1,XM_011522502.2,XM_017023250.1
Marfan_syndrome,_Loeys-Dietz_syndromes,_and_familial_thoracic_aortic_aneurysms_and_dissections	Aortic_aneurysm,_familial_thoracic_6	AORTIC_ANEURYSM,_FAMILIAL_THORACIC_6;_AAT6	611788	ACTA2	102620	59	AD	KP,EP			NM_001613.3,NM_001141945.2,NM_001320855.1
Arrhythmogenic_right_ventricular_cardiomyopathy	Arrhythmogenic_right_ventricular_cardiomyopathy,_type_5	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_DYSPLASIA,_FAMILIAL,_5;_ARVD5 	604400	TMEM43	612048	79188	AD	KP,EP 			NM_024334.2,XM_017007176.2
Arrhythmogenic_right_ventricular_cardiomyopathy	Arhythmogenic_right_ventricular_cardiomyopathy,_type_8	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_DYSPLASIA,_FAMILIAL,_8;_ARVD8 	607450	DSP	125647	1832	AD	KP 			NM_004415.3,NM_001008844.2,NM_001319034.1
Arrhythmogenic_right_ventricular_cardiomyopathy	Arrhythmogenic_right_ventricular_cardiomyopathy,_type_9	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_DYSPLASIA,_FAMILIAL,_9;_ARVD9 	609040	PKP2	602861	5318	AD	KP,EP 			NM_004572.3,NM_001005242.2
Arrhythmogenic_right_ventricular_cardiomyopathy	Arrhythmogenic_right_ventricular_cardiomyopathy,_type_10	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_DYSPLASIA,_FAMILIAL,_10;_ARVD10 	610193	DSG2	125671	1829	AD	KP,EP 			NM_001943.4,XM_024451095.1
Arrhythmogenic_right_ventricular_cardiomyopathy	Arrhythmogenic_right_ventricular_cardiomyopathy,_type_11	ARRHYTHMOGENIC_RIGHT_VENTRICULAR_DYSPLASIA,_FAMILIAL,_11;_ARVD11 	610476	DSC2	125645	1824	AD	KP,EP 			NM_004949.4,NM_024422.4,XM_005258206.4
Hereditary_breast_and_ovarian_cancer	Breast-ovarian_cancer,_familial_1	BREAST-OVARIAN_CANCER,_FAMILIAL,_SUSCEPTIBILITY_TO,_1;_BROVCA1 	604370	BRCA1	113705	672	AD	KP,EP			NM_007294.3,NM_007297.3,NM_007298.3,NM_007299.3,NM_007300.3,NR_027676.1
Hereditary_breast_and_ovarian_cancer	Breast-ovarian_cancer,_familial_2	BREAST-OVARIAN_CANCER,_FAMILIAL,_SUSCEPTIBILITY_TO,_2;_BROVCA2 	612555	BRCA2	600185	675	AD	KP,EP			NM_000059.3
Romano-Ward_long-QT_syndrome_types_1,_2,_and_3,_Brugada_syndrome	Brugada_syndrome_1	BRUGADA_SYNDROME_1;_BRGDA1 	601144	SCN5A	600163	6331	AD	KP,EP			NM_198056.2,NM_000335.4,NM_001099404.1,NM_001099405.1,NM_001160160.1,NM_001160161.1,NM_001354701.1,XM_011533991.2,XM_017007017.1
